# rom	genre	players	orientation	parent	title	year	maker -- made by tools/make-gameinfo.py from FinalBurn Neo
car2	Racing	2	horizontal	headon2	Car 2 (bootleg of Head On 2)	1979	bootleg (RZ Bologna)
carhntds	Vertical shooter	2	vertical		Car Hunt / Deep Scan (France)	1979	Sega
carjmbre	Action	2	vertical		Car Jamboree	1983	Omori Electric Co., Ltd.
carket	Sports	2	horizontal		Carket Ball	1996	SemiCom
carnival	Shooter	2	vertical		Carnival (upright, AY8912 music)	1980	Sega
carnivalc	Shooter	2	vertical	carnival	Carnival (cocktail)	1980	Sega
carnivalmm	Shooter	2	vertical	carnival	Carnival (ManilaMatic bootleg)	1980	bootleg (ManilaMatic)
casanova	Puzzle	2	horizontal		Casanova	199?	Promat
cashquiz	Quiz	2	horizontal		Cash Quiz (Type B, Version 5)	1986	Zilec-Zenitone
castfant	Vertical shooter	2	vertical		Astro Fantasia (DECO Cassette) (US)	1981	Data East Corporation
catacomb	Vertical shooter	2	vertical		Catacomb	1982	MTM Games
catch22	Shooter	1	horizontal	combat	Catch-22 (version 8.0)	1985	Exidy
catt	Platform	2	horizontal	mcatadv	Catt (Japan)	1993	Wintechno
cavelon	Maze	2	vertical		Cavelon	1983	Jetsoft
cavenger	Horizontal shooter	2	horizontal		Cosmic Avenger	1981	Universal
cawing	Horizontal shooter	2	horizontal		Carrier Air Wing (World 901012)	1990	Capcom
cawingb2	Horizontal shooter	2	horizontal	cawing	Carrier Air Wing (bootleg with 2xYM2203 + 2xMSM5205, set 2)	1990	bootleg
